Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Objective,rsi-value,rsi-enabled,trigger,sell-rsi-value,sell-rsi-enabled,sell-trigger,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss
,33,847,-0.09%,0.07379799999999999,-0.00746606,BTC,-74.59,130.3 m,26.46710,11,True,bb_lower_1,91,False,sell-bb_middle_1,43,16,31,0.038,0.014,0.064,-0.217
,34,780,-0.04%,0.22766499999999998,-0.00340750,BTC,-34.04,150.5 m,14.91427,48,False,bb_lower_1,85,False,sell-bb_middle_1,88,49,33,0.038,0.023,0.183,-0.217
,35,312,-0.28%,0.0,-0.00876289,BTC,-87.54,131.2 m,19.72747,18,False,bb_lower_3,97,False,sell-bb_middle_1,29,27,39,0.04,0.022,0.094,-0.198
,36,786,-0.22%,0.0,-0.01751097,BTC,-174.93,129.4 m,51.98072,39,True,bb_lower_1,73,False,sell-bb_middle_1,31,20,36,0.038,0.02,0.051,-0.203
,37,427,-0.04%,0.137078,-0.00176721,BTC,-17.65,247.5 m,6.21534,30,False,bb_lower_2,55,True,sell-bb_lower_1,108,38,32,0.016,0.058,0.149,-0.268
,38,512,-0.11%,0.0,-0.00562719,BTC,-56.22,179.8 m,16.06267,42,False,bb_lower_2,60,False,sell-bb_upper_1,59,38,32,0.015,0.062,0.176,-0.326
,39,549,-0.15%,0.0,-0.00840225,BTC,-83.94,150.1 m,21.96859,49,False,bb_lower_2,69,False,sell-bb_upper_1,26,23,33,0.011,0.061,0.131,-0.275
,40,514,-0.18%,0.030286500000000004,-0.00911367,BTC,-91.05,173.3 m,23.84618,45,False,bb_lower_2,92,False,sell-bb_upper_1,75,30,29,0.01,0.059,0.196,-0.334
,41,633,-0.07%,0.176646,-0.00453755,BTC,-45.33,88.6 m,18.07168,49,False,bb_lower_2,51,False,sell-bb_lower_1,55,33,32,0.015,0.062,0.138,-0.336
,42,499,-0.14%,0.059533,-0.00700967,BTC,-70.03,191.3 m,18.89919,42,False,bb_lower_2,83,False,sell-bb_upper_1,102,40,29,0.012,0.064,0.115,-0.295
,43,567,-0.15%,0.0,-0.00844888,BTC,-84.40,141.4 m,24.11715,44,False,bb_lower_2,63,False,sell-bb_upper_1,21,16,34,0.018,0.056,0.168,-0.288
,44,635,-0.08%,0.137125,-0.00483774,BTC,-48.33,87.9 m,19.13216,43,False,bb_lower_2,43,False,sell-bb_lower_1,20,41,40,0.016,0.067,0.127,-0.322
,45,489,-0.10%,0.100351,-0.00480749,BTC,-48.03,204.2 m,13.53693,45,False,bb_lower_2,58,False,sell-bb_upper_1,102,43,35,0.018,0.066,0.178,-0.333
,46,647,-0.09%,0.015472000000000001,-0.00597079,BTC,-59.65,83.0 m,23.02600,44,False,bb_lower_2,66,False,sell-bb_lower_1,18,21,24,0.012,0.062,0.155,-0.305
,47,635,-0.08%,0.1651,-0.00491350,BTC,-49.09,87.5 m,18.75456,49,False,bb_lower_2,55,False,sell-bb_lower_1,75,16,22,0.015,0.058,0.138,-0.296
,48,637,-0.08%,0.142633,-0.00527295,BTC,-52.68,87.3 m,19.60174,43,False,bb_lower_2,49,False,sell-bb_lower_1,38,45,21,0.011,0.061,0.173,-0.287
,49,212,-0.14%,0.0523905,-0.00307065,BTC,-30.68,96.7 m,9.23821,25,False,bb_lower_4,36,True,sell-bb_lower_1,50,42,32,0.017,0.064,0.093,-0.237
